system:index,fire_nov,fire_oct,hcho,lat,lon,u_component_of_wind_10m,v_component_of_wind_10m,.geo,wind_speed,wind_dir_rad,plume_score_nov,plume_score_oct
49,,,0.0002132792892087,28.3,75.55,0.3212186091476016,0.3433644288116032,"{""type"":""Point"",""coordinates"":[75.55,28.3]}",0.47019200954061113,0.7520876109976864,0.0,0.0
50,,,0.0002108280609343,28.3,75.7,0.3401462892691293,0.3211171143584781,"{""type"":""Point"",""coordinates"":[75.7,28.3]}",0.4677774035131177,0.8141672206739845,0.0,0.0
51,,,0.0002196701310553,28.3,75.85,0.3937300701936086,0.2596699708037905,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.3]}",0.4716480275713081,0.9877628550284296,0.0,0.0
52,,,0.000224274208574,28.3,76.0,0.4793769750330184,0.141725973950492,"{""type"":""Point"",""coordinates"":[76.0,28.3]}",0.499888523457003,1.283338628618103,0.0,0.0
53,,,0.0002345542924717,28.3,76.15,0.5085921307404836,0.0595679064591725,"{""type"":""Point"",""coordinates"":[76.15,28.3]}",0.5120686388865011,1.4542043816416004,0.0,0.0
54,,,0.0002287922965688,28.3,76.3,0.525209630197949,0.005762364466985,"{""type"":""Point"",""coordinates"":[76.3,28.3]}",0.5252412402857535,1.5598252155706964,0.0,0.0
55,,,0.0002552032798264,28.3,76.45,0.503843934668435,-0.0535265081458621,"{""type"":""Point"",""coordinates"":[76.45,28.3]}",0.5066791860501666,1.6766356310299813,0.0,0.0
56,,,0.0002435042373341,28.3,76.6,0.5061290231015947,-0.1107717202769385,"{""type"":""Point"",""coordinates"":[76.6,28.300000000000004]}",0.5181090252436131,1.786259608432609,0.0,0.0
57,,,0.0002608013452958,28.3,76.75,0.5245891061094071,-0.1973734862274594,"{""type"":""Point"",""coordinates"":[76.75,28.300000000000004]}",0.5604908771017133,1.9306571518251068,0.0,0.0
58,,,0.0003032263595664,28.3,76.9,0.5779128094514211,-0.3541507621606191,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.3]}",0.6777949377702536,2.1205817549816306,0.0,0.0
59,,,0.0002538552930724,28.3,77.05,0.6093343860573238,-0.5063453151120078,"{""type"":""Point"",""coordinates"":[77.05,28.3]}",0.7922587785362395,2.26414475080708,0.0,0.0
60,,,0.0003041795544782,28.3,77.2,0.6076854195859696,-0.5589525335364872,"{""type"":""Point"",""coordinates"":[77.2,28.3]}",0.8256570134893991,2.3144466876393377,0.0,0.0
61,,,0.0003340178790415,28.3,77.35,0.5578013863828448,-0.5586870306067997,"{""type"":""Point"",""coordinates"":[77.35,28.300000000000004]}",0.7894767791511457,2.356987730878697,0.0,0.0
62,,,0.000328506452075,28.3,77.5,0.5456852296988168,-0.5452921873993345,"{""type"":""Point"",""coordinates"":[77.5,28.3]}",0.7714375798145962,2.355834223997722,0.0,0.0
63,,,0.0001811569773166,28.45,74.5,0.4662245770295458,0.120900778637992,"{""type"":""Point"",""coordinates"":[74.5,28.45]}",0.48164546556741467,1.3170664793205193,0.0,0.0
64,,,0.0001758366422957,28.45,74.65,0.4927769045035047,0.1026997559600406,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.45]}",0.5033649942996713,1.3653272252978952,0.0,0.0
65,,,0.0001679500166224,28.45,74.8,0.5085060033533308,0.0872561660077837,"{""type"":""Point"",""coordinates"":[74.8,28.45]}",0.5159379749085695,1.400858140670506,0.0,0.0
66,,,0.0001764365059019,28.45,74.95,0.4964203642474282,0.0846750570668114,"{""type"":""Point"",""coordinates"":[74.95,28.45]}",0.503590154122196,1.4018509881299928,0.0,0.0
67,,,0.0002006773265108,28.45,75.1,0.4404965632491643,0.1097388048966725,"{""type"":""Point"",""coordinates"":[75.1,28.450000000000003]}",0.4539601607349206,1.326641151769323,0.0,0.0
68,,,0.000221939503798,28.45,75.25,0.350785395171907,0.1616244521405961,"{""type"":""Point"",""coordinates"":[75.25,28.450000000000003]}",0.38622902143114357,1.1390385549757283,0.0,0.0
