system:index,date,mean,name,.geo
20240518T181925_20240520T080509_3,2024-05-18,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240518T181925_20240520T080509_4,2024-05-18,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240518T200055_20240520T094513_0,2024-05-18,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240518T200055_20240520T094513_1,2024-05-18,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240518T200055_20240520T094513_2,2024-05-18,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240518T200055_20240520T094513_3,2024-05-18,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240518T200055_20240520T094513_4,2024-05-18,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240518T214225_20240520T112515_0,2024-05-18,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240518T214225_20240520T112515_1,2024-05-18,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240518T214225_20240520T112515_2,2024-05-18,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240518T214225_20240520T112515_3,2024-05-18,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240518T214225_20240520T112515_4,2024-05-18,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240518T232355_20240520T131545_0,2024-05-18,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240518T232355_20240520T131545_1,2024-05-18,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240518T232355_20240520T131545_2,2024-05-18,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240518T232355_20240520T131545_3,2024-05-18,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240518T232355_20240520T131545_4,2024-05-18,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240519T010525_20240520T145521_0,2024-05-19,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240519T010525_20240520T145521_1,2024-05-19,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240519T010525_20240520T145521_2,2024-05-19,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240519T010525_20240520T145521_3,2024-05-19,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240519T010525_20240520T145521_4,2024-05-19,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240519T024655_20240520T163523_0,2024-05-19,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240519T024655_20240520T163523_1,2024-05-19,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240519T024655_20240520T163523_2,2024-05-19,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240519T024655_20240520T163523_3,2024-05-19,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240519T024655_20240520T163523_4,2024-05-19,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240519T042825_20240520T181526_0,2024-05-19,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240519T042825_20240520T181526_1,2024-05-19,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240519T042825_20240520T181526_2,2024-05-19,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240519T042825_20240520T181526_3,2024-05-19,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240519T042825_20240520T181526_4,2024-05-19,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240519T060955_20240520T195600_0,2024-05-19,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240519T060955_20240520T195600_1,2024-05-19,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240519T060955_20240520T195600_2,2024-05-19,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240519T060955_20240520T195600_3,2024-05-19,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240519T060955_20240520T195600_4,2024-05-19,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240519T075125_20240520T213533_0,2024-05-19,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240519T075125_20240520T213533_1,2024-05-19,0.04323993281186172,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240519T075125_20240520T213533_2,2024-05-19,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240519T075125_20240520T213533_3,2024-05-19,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240519T075125_20240520T213533_4,2024-05-19,0.03871170458223345,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240519T093256_20240520T231536_0,2024-05-19,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240519T093256_20240520T231536_1,2024-05-19,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240519T093256_20240520T231536_2,2024-05-19,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240519T093256_20240520T231536_3,2024-05-19,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240519T093256_20240520T231536_4,2024-05-19,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240519T111426_20240521T010550_0,2024-05-19,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
