system:index,date,mean,name,.geo
20241121T042839_20241123T042318_4,2024-11-21,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241121T061009_20241123T042825_0,2024-11-21,1.0803654477253957E-4,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241121T061009_20241123T042825_1,2024-11-21,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241121T061009_20241123T042825_2,2024-11-21,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241121T061009_20241123T042825_3,2024-11-21,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241121T061009_20241123T042825_4,2024-11-21,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241121T075139_20241123T063145_0,2024-11-21,1.734521356411335E-4,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241121T075139_20241123T063145_1,2024-11-21,1.4852493246506556E-4,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241121T075139_20241123T063145_2,2024-11-21,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241121T075139_20241123T063145_3,2024-11-21,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241121T075139_20241123T063145_4,2024-11-21,1.30575099492819E-4,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241121T093309_20241123T081452_0,2024-11-21,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241121T093309_20241123T081452_1,2024-11-21,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241121T093309_20241123T081452_2,2024-11-21,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241121T093309_20241123T081452_3,2024-11-21,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241121T093309_20241123T081452_4,2024-11-21,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241121T111439_20241123T084341_0,2024-11-21,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241121T111439_20241123T084341_1,2024-11-21,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241121T111439_20241123T084341_2,2024-11-21,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
